team,week,VoA_Output,VoA_Ranking_Ovr,VoA_Rating_Ovr
CLE,11,18.68421052631579,25,-2.3366762908226866
ATL,11,18.289473684210527,26,-3.1818720822685984
WAS,11,18.105263157894736,27,-3.303326636898258
CIN,11,21.5,28,-4.794201756113768
NO,11,19.55263157894737,29,-5.172501625865785
NYJ,11,19.23684210526316,30,-6.769981569451351
LV,11,20.42105263157895,31,-8.803221314416284
TEN,11,22.86842105263158,32,-9.0309408583463
KC,12,10.13157894736842,1,9.93384351360038
LA,12,7.894736842105263,2,8.04577509166265
IND,12,8.605263157894736,3,7.718664152488015
SEA,12,8.81578947368421,4,7.642893098597042
NE,12,9.052631578947368,5,7.505636457764528
HOU,12,13.105263157894736,6,6.904589632396182
BUF,12,11.026315789473683,7,6.009564478106365
DEN,12,10.63157894736842,8,5.874555105248248
DET,12,9.973684210526317,9,5.253204743145263
GB,12,9.447368421052632,10,5.2096162460745035
LAC,12,13.421052631578949,11,4.130366029214145
SF,12,15.052631578947368,12,2.8895336275116694
JAX,12,13.263157894736842,13,2.0198090104741793
BAL,12,14.342105263157896,14,1.7852350324018844
PHI,12,14.342105263157896,15,1.3266167738384975
DAL,12,16.31578947368421,16,1.1290535717073114
CHI,12,14.473684210526317,17,0.7019955746852421
CLE,12,17.394736842105264,18,-0.13107586155402148
MIN,12,16.657894736842106,19,-0.24200155863352063
ARI,12,16.526315789473685,20,-0.34538611183414747
TB,12,17.92105263157895,21,-0.39513887630731626
NYG,12,16.710526315789473,22,-0.7381277294650161
ATL,12,16.973684210526315,23,-0.8275233373735692
MIA,12,17.842105263157894,24,-1.132231895795971
CAR,12,20.42105263157895,25,-1.6117979258225406
PIT,12,17.55263157894737,26,-1.980482370839399
CIN,12,21.76315789473684,27,-3.970255364654111
NYJ,12,19.026315789473685,28,-4.262425739811822
WAS,12,17.894736842105264,29,-4.565309557075233
NO,12,19.86842105263158,30,-5.0145865683558775
LV,12,21.13157894736842,31,-6.659717602330478
TEN,12,22.473684210526315,32,-7.363604067624904
SEA,13,8.342105263157896,1,10.242298003812142
KC,13,10.789473684210526,2,9.26139579613186
IND,13,8.736842105263158,3,9.122747959236309
LA,13,8.263157894736842,4,8.80785945745012
BUF,13,10.973684210526317,5,8.60141656697354
NE,13,8.526315789473685,6,8.435961314530903
HOU,13,12.789473684210526,7,7.224316510934542
LAC,13,12.473684210526317,8,6.391306249584373
DEN,13,10.578947368421051,9,6.186203862503191
DET,13,11.052631578947368,10,5.72200030291924
GB,13,9.36842105263158,11,5.43527228971233
SF,13,14.31578947368421,12,3.864752577165082
JAX,13,12.026315789473683,13,3.705036865365864
CHI,13,14.236842105263158,14,2.062905785734228
DAL,13,16.236842105263158,15,1.8556589185161645
BAL,13,14.789473684210526,16,0.522530835512019
PHI,13,14.763157894736842,17,-0.29993290000698425
ARI,13,16.57894736842105,18,-0.3005342486935303
TB,13,17.5,19,-0.8167025063500848
